run_id,run_name,env_type,seed,episode_length,final_reward,reward_per_step
52c84v6w,FruitBot_0_roll_0_inner_0_pct_1_max_value_seed_7_time_2026-03-31_01-45-25,FruitBot,7,72.0,-16.0,-0.2222222222222222
ytw3belf,FruitBot_0_roll_0_inner_0_pct_1_max_value_seed_8_time_2026-03-31_01-45-34,FruitBot,8,72.0,0.0,0.0
lzzlwzif,FruitBot_0_roll_0_inner_0_pct_1_max_value_seed_9_time_2026-03-31_01-45-41,FruitBot,9,65.0,2.0,0.03076923076923077
jl3jrfem,Heist_0_roll_0_inner_0_pct_1_max_value_seed_0_time_2026-03-31_01-54-38,Heist,0,1000.0,0.0,0.0
6h2jh5g4,Heist_0_roll_0_inner_0_pct_1_max_value_seed_1_time_2026-03-31_01-54-50,Heist,1,1000.0,0.0,0.0
plmudksm,Heist_0_roll_0_inner_0_pct_1_max_value_seed_2_time_2026-03-31_01-55-02,Heist,2,1000.0,0.0,0.0
ikf2ubfz,Heist_0_roll_0_inner_0_pct_1_max_value_seed_3_time_2026-03-31_01-55-14,Heist,3,1000.0,0.0,0.0
5emsgk1h,Heist_0_roll_0_inner_0_pct_1_max_value_seed_4_time_2026-03-31_01-55-26,Heist,4,1000.0,0.0,0.0
ht15fwqg,Heist_0_roll_0_inner_0_pct_1_max_value_seed_5_time_2026-03-31_01-55-37,Heist,5,1000.0,0.0,0.0
g21tomfw,Heist_0_roll_0_inner_0_pct_1_max_value_seed_6_time_2026-03-31_01-55-49,Heist,6,69.0,10.0,0.14492753623188406
vgs68yzk,Heist_0_roll_0_inner_0_pct_1_max_value_seed_7_time_2026-03-31_01-55-57,Heist,7,1000.0,0.0,0.0
umtogsr9,Heist_0_roll_0_inner_0_pct_1_max_value_seed_8_time_2026-03-31_01-56-09,Heist,8,1000.0,0.0,0.0
mzivp3tf,Heist_0_roll_0_inner_0_pct_1_max_value_seed_9_time_2026-03-31_01-56-20,Heist,9,1000.0,0.0,0.0
d7jbsdr7,Jumper_0_roll_0_inner_0_pct_1_max_value_seed_0_time_2026-03-31_01-48-53,Jumper,0,39.0,10.0,0.2564102564102564
7y66nwhx,Jumper_0_roll_0_inner_0_pct_1_max_value_seed_1_time_2026-03-31_01-49-01,Jumper,1,14.0,0.0,0.0
69hste5s,Jumper_0_roll_0_inner_0_pct_1_max_value_seed_2_time_2026-03-31_01-49-09,Jumper,2,195.0,10.0,0.05128205128205128
hdj2e6bb,Jumper_0_roll_0_inner_0_pct_1_max_value_seed_3_time_2026-03-31_01-49-18,Jumper,3,15.0,10.0,0.6666666666666666
hjimbxmt,Jumper_0_roll_0_inner_0_pct_1_max_value_seed_4_time_2026-03-31_01-49-26,Jumper,4,61.0,0.0,0.0
p5qyzn8b,Jumper_0_roll_0_inner_0_pct_1_max_value_seed_5_time_2026-03-31_01-49-34,Jumper,5,1000.0,0.0,0.0
2iknwk05,Jumper_0_roll_0_inner_0_pct_1_max_value_seed_6_time_2026-03-31_01-49-45,Jumper,6,1000.0,0.0,0.0
tgze5kyy,Jumper_0_roll_0_inner_0_pct_1_max_value_seed_7_time_2026-03-31_01-49-56,Jumper,7,1000.0,0.0,0.0
i39n4w7t,Jumper_0_roll_0_inner_0_pct_1_max_value_seed_8_time_2026-03-31_01-50-08,Jumper,8,36.0,10.0,0.2777777777777778
2j2obqch,Jumper_0_roll_0_inner_0_pct_1_max_value_seed_9_time_2026-03-31_01-50-15,Jumper,9,134.0,0.0,0.0
